strahler_order,tokunaga_index,length
1,11,234.909
1,11,107.916
1,12,92.1122
1,12,315.846
1,11,403.33
1,11,361.902
1,12,53.9581
1,13,407.959
1,13,134.895
1,11,354.001
1,11,404.685
1,11,369.804
1,11,176.322
1,12,265.161
1,13,80.9371
1,13,188.853
1,13,500.071
1,14,834.994
1,14,423.763
1,14,215.832
1,14,1179.17
1,11,227.007
1,11,188.853
1,12,415.861
1,11,403.33
1,11,200.028
1,11,411.232
1,11,227.007
1,11,46.0561
1,11,46.0561
1,11,503.344
1,11,234.909
1,13,834.994
1,11,19.0771
1,11,457.288
1,14,1239.68
1,11,153.972
1,11,300.042
1,14,1252.21
1,14,1044.28
1,14,192.126
1,11,392.155
1,11,431.665
1,14,134.895
1,14,369.804
1,14,388.882
1,14,546.127
1,14,80.9371
1,14,775.051
1,14,53.9581
1,14,677.749
1,11,119.091
1,11,273.063
1,14,411.232
1,11,392.155
1,11,338.197
1,12,203.301
1,12,26.979
1,12,681.022
1,12,26.979
1,11,515.875
1,11,265.161
1,11,779.68
1,11,19.0771
1,13,153.972
1,13,19.0771
1,13,176.322
1,13,107.916
1,13,126.993
1,13,207.93
1,13,423.763
1,13,26.979
1,14,65.1331
1,14,407.959
1,14,534.952
1,11,211.203
1,11,26.979
1,12,73.0351
1,11,752.701
1,11,111.189
1,11,53.9581
1,12,161.874
1,12,138.168
1,12,19.0771
1,12,238.182
1,12,157.245
1,12,80.9371
1,12,73.0351
1,12,100.014
1,12,219.105
1,12,107.916
1,12,376.351
1,14,227.007
1,14,80.9371
1,14,211.203
1,11,357.274
1,11,153.972
1,11,579.652
1,11,273.063
1,11,280.965
1,11,100.014
1,11,342.825
1,11,276.337
1,13,134.895
1,13,153.972
1,13,369.804
1,13,188.853
1,13,26.979
1,14,192.126
1,14,26.979
1,14,26.979
1,14,754.057
1,14,76.3082
1,14,95.3853
1,14,119.091
1,11,38.1541
1,11,126.993
1,12,215.832
1,12,100.014
1,12,100.014
1,12,173.049
1,12,46.0561
1,12,249.357
1,14,184.224
1,11,146.07
1,11,126.993
1,12,80.9371
1,11,530.323
1,11,80.9371
1,11,425.68
1,11,227.007
1,13,180.951
1,11,103.287
1,11,46.0561
1,12,215.832
1,13,334.923
1,13,423.763
1,13,454.015
1,13,176.322
1,13,334.923
1,13,411.232
1,11,276.337
1,11,434.938
1,12,138.168
1,11,19.0771
1,11,246.084
1,12,781.036
1,12,269.79
1,13,173.049
1,11,630.337
1,11,46.0561
1,12,387.526
1,11,153.972
1,11,234.909
1,13,604.714
1,14,838.267
1,14,53.9581
1,14,658.672
1,14,666.574
1,14,396.784
1,14,107.916
1,14,107.916
1,12,200.028
1,11,53.9581
1,11,319.12
1,12,84.2102
1,12,330.295
1,12,80.9371
1,12,238.182
1,12,38.1541
1,11,26.979
1,11,26.979
1,12,38.1541
1,12,184.224
1,11,253.986
1,11,126.993
1,12,288.867
1,11,119.091
1,11,253.986
1,11,207.93
1,11,157.245
1,13,541.498
1,14,752.701
1,13,458.644
1,13,227.007
1,13,146.07
1,13,265.161
1,13,26.979
1,11,157.245
1,11,395.428
1,11,38.1541
1,11,336.841
1,13,126.993
1,13,484.267
1,14,650.77
1,13,134.895
1,11,26.979
1,11,214.476
1,13,138.168
1,11,188.853
1,11,222.378
1,11,230.28
1,11,623.791
1,12,607.987
1,11,446.113
1,11,19.0771
1,14,319.12
1,14,53.9581
1,14,200.028
1,12,126.993
1,11,26.979
1,11,146.07
1,14,407.959
1,14,46.0561
1,14,242.811
1,14,73.0351
1,14,26.979
1,11,708.001
1,11,80.9371
1,12,315.846
1,15,261.888
1,14,180.951
1,13,315.846
1,13,126.993
1,13,100.014
1,11,38.1541
1,11,73.0351
1,12,165.147
1,12,73.0351
1,12,46.0561
1,11,126.993
1,11,111.189
